Validation Metrics:
              Metric | Value
---------------------+------
MeanResidualDeviance | 0.081
                  R2 | 0.428
                RMSE | 0.285

Validationvariable importances:
                     Variable | Importance
------------------------------+-----------
         cyclomaticComplexity | 0.227
             numberOfComments | 0.111
         dependenciesExternal | 0.076
  previousAuthorCommitWeekday | 0.076
                  linesOfCode | 0.068
          dependenciesProject | 0.059
     previousAuthorTotalEdits | 0.051
               totalEditCount | 0.043
              numberOfMethods | 0.041
             totalAuthorCount | 0.033
        commitAgeClass.Minus8 | 0.030
                   dependants | 0.026
     commitAgePackage.Minus16 | 0.025
        commitAgeClass.Minus4 | 0.021
      commitAgePackage.Minus8 | 0.021
  previousAuthorThisFileEdits | 0.020
       commitAgeClass.Minus16 | 0.020
        commitAgeClass.Minus2 | 0.017
      commitAgePackage.Minus4 | 0.016
        commitAgeClass.Minus1 | 0.010
    commitAgeClass.LastCommit | 0.007
      commitAgePackage.Minus2 | 0.002
      commitAgePackage.Minus1 | 0.002
  commitAgePackage.LastCommit | 0.001
                       prefix | 0.000
                       suffix | 0.000
               previousAuthor | 0.000
previousAuthorCommitTimeOfDay | 0.000
                      package | 0.000
                       random | 0.000

Predictions:
                                                                              File | Predicted change
-----------------------------------------------------------------------------------+-----------------
                                src/main/java/org/apache/commons/io/FileUtils.java | 0.986
                            src/main/java/org/apache/commons/io/FilenameUtils.java | 0.971
                                  src/main/java/org/apache/commons/io/IOUtils.java | 0.970
                           src/main/java/org/apache/commons/io/file/PathUtils.java | 0.847
src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java | 0.721
              src/main/java/org/apache/commons/io/input/TailerListenerAdapter.java | 0.669
                              src/main/java/org/apache/commons/io/EndianUtils.java | 0.645
           src/main/java/org/apache/commons/io/monitor/FileAlterationObserver.java | 0.622
                 src/main/java/org/apache/commons/io/filefilter/AndFileFilter.java | 0.610
                                 src/main/java/org/apache/commons/io/Charsets.java | 0.600
                    src/main/java/org/apache/commons/io/input/NullInputStream.java | 0.595
                               src/main/java/org/apache/commons/io/FileSystem.java | 0.592
                          src/main/java/org/apache/commons/io/DirectoryWalker.java | 0.583
                            src/main/java/org/apache/commons/io/file/Counters.java | 0.576
                            src/main/java/org/apache/commons/io/ByteOrderMark.java | 0.548
            src/main/java/org/apache/commons/io/monitor/FileAlterationMonitor.java | 0.547
                 src/main/java/org/apache/commons/io/output/ProxyOutputStream.java | 0.543
                  src/main/java/org/apache/commons/io/filefilter/OrFileFilter.java | 0.543
         src/main/java/org/apache/commons/io/filefilter/MagicNumberFileFilter.java | 0.541
              src/main/java/org/apache/commons/io/input/ObservableInputStream.java | 0.540
            src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java | 0.539
                          src/main/java/org/apache/commons/io/input/TeeReader.java | 0.538
            src/main/java/org/apache/commons/io/input/CharSequenceInputStream.java | 0.538
               src/main/java/org/apache/commons/io/output/StringBuilderWriter.java | 0.536
            src/main/java/org/apache/commons/io/filefilter/WildcardFileFilter.java | 0.527
                        src/main/java/org/apache/commons/io/input/ProxyReader.java | 0.525
            src/main/java/org/apache/commons/io/comparator/PathFileComparator.java | 0.523
       src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java | 0.523
            src/main/java/org/apache/commons/io/comparator/NameFileComparator.java | 0.523
    src/main/java/org/apache/commons/io/comparator/LastModifiedFileComparator.java | 0.520
   src/main/java/org/apache/commons/io/input/buffer/CircularBufferInputStream.java | 0.516
                src/main/java/org/apache/commons/io/filefilter/WildcardFilter.java | 0.511
                     src/main/java/org/apache/commons/io/input/BOMInputStream.java | 0.510
             src/main/java/org/apache/commons/io/input/SwappedDataInputStream.java | 0.501
                  src/main/java/org/apache/commons/io/input/ReaderInputStream.java | 0.492
                src/main/java/org/apache/commons/io/output/WriterOutputStream.java | 0.484
       src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java | 0.479
                src/main/java/org/apache/commons/io/filefilter/NameFileFilter.java | 0.479
                        src/main/java/org/apache/commons/io/monitor/FileEntry.java | 0.474
              src/main/java/org/apache/commons/io/file/AccumulatorPathVisitor.java | 0.471
              src/main/java/org/apache/commons/io/filefilter/SuffixFileFilter.java | 0.468
         src/main/java/org/apache/commons/io/comparator/DefaultFileComparator.java | 0.460
              src/main/java/org/apache/commons/io/filefilter/PrefixFileFilter.java | 0.444
                             src/main/java/org/apache/commons/io/LineIterator.java | 0.443
                src/main/java/org/apache/commons/io/output/LockableFileWriter.java | 0.442
                 src/main/java/org/apache/commons/io/input/CharSequenceReader.java | 0.440
                    src/main/java/org/apache/commons/io/input/XmlStreamReader.java | 0.437
       src/main/java/org/apache/commons/io/comparator/DirectoryFileComparator.java | 0.437
                      src/main/java/org/apache/commons/io/FileCleaningTracker.java | 0.435
                 src/main/java/org/apache/commons/io/input/BoundedInputStream.java | 0.434
             src/main/java/org/apache/commons/io/output/ByteArrayOutputStream.java | 0.433
         src/main/java/org/apache/commons/io/input/buffer/PeekableInputStream.java | 0.430
                                src/main/java/org/apache/commons/io/CopyUtils.java | 0.427
                     src/main/java/org/apache/commons/io/input/SequenceReader.java | 0.427
                          src/main/java/org/apache/commons/io/FileSystemUtils.java | 0.426
                             src/main/java/org/apache/commons/io/input/Tailer.java | 0.425
                  src/main/java/org/apache/commons/io/output/AppendableWriter.java | 0.419
                   src/main/java/org/apache/commons/io/output/XmlStreamWriter.java | 0.417
       src/main/java/org/apache/commons/io/input/WindowsLineEndingInputStream.java | 0.415
          src/main/java/org/apache/commons/io/input/UnixLineEndingInputStream.java | 0.413
      src/main/java/org/apache/commons/io/input/AbstractCharacterFilterReader.java | 0.409
            src/main/java/org/apache/commons/io/output/FileWriterWithEncoding.java | 0.405
       src/main/java/org/apache/commons/io/serialization/FullClassNameMatcher.java | 0.401
     src/main/java/org/apache/commons/io/serialization/RegexpClassNameMatcher.java | 0.400
                         src/main/java/org/apache/commons/io/input/NullReader.java | 0.396
            src/main/java/org/apache/commons/io/output/FilterCollectionWriter.java | 0.385
          src/main/java/org/apache/commons/io/output/ThresholdingOutputStream.java | 0.370
          src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java | 0.369
                src/main/java/org/apache/commons/io/filefilter/SizeFileFilter.java | 0.369
               src/main/java/org/apache/commons/io/filefilter/RegexFileFilter.java | 0.368
             src/main/java/org/apache/commons/io/output/ProxyCollectionWriter.java | 0.366
            src/main/java/org/apache/commons/io/input/ReversedLinesFileReader.java | 0.363
                 src/main/java/org/apache/commons/io/filefilter/AgeFileFilter.java | 0.355
                      src/main/java/org/apache/commons/io/input/BoundedReader.java | 0.353
                       src/main/java/org/apache/commons/io/FileDeleteStrategy.java | 0.352
               src/main/java/org/apache/commons/io/filefilter/EmptyFileFilter.java | 0.350
       src/main/java/org/apache/commons/io/input/ClassLoaderObjectInputStream.java | 0.349
                              src/main/java/org/apache/commons/io/FileCleaner.java | 0.337
                 src/main/java/org/apache/commons/io/output/DemuxOutputStream.java | 0.337
                 src/main/java/org/apache/commons/io/file/CleaningPathVisitor.java | 0.332
                                  src/main/java/org/apache/commons/io/HexDump.java | 0.331
                 src/main/java/org/apache/commons/io/file/DeletingPathVisitor.java | 0.330
                src/main/java/org/apache/commons/io/output/BrokenOutputStream.java | 0.329
src/main/java/org/apache/commons/io/input/MessageDigestCalculatingInputStream.java | 0.322
                       src/main/java/org/apache/commons/io/output/ProxyWriter.java | 0.322
              src/main/java/org/apache/commons/io/output/CountingOutputStream.java | 0.321
             src/main/java/org/apache/commons/io/comparator/ReverseComparator.java | 0.320
               src/main/java/org/apache/commons/io/input/AutoCloseInputStream.java | 0.320
            src/main/java/org/apache/commons/io/filefilter/DelegateFileFilter.java | 0.320
                     src/main/java/org/apache/commons/io/output/ChunkedWriter.java | 0.312
               src/main/java/org/apache/commons/io/filefilter/FileFilterUtils.java | 0.309
                src/main/java/org/apache/commons/io/input/CountingInputStream.java | 0.308
                            src/main/java/org/apache/commons/io/ThreadMonitor.java | 0.305
                                   src/main/java/org/apache/commons/io/IOCase.java | 0.298
                   src/main/java/org/apache/commons/io/input/DemuxInputStream.java | 0.297
          src/main/java/org/apache/commons/io/input/buffer/CircularByteBuffer.java | 0.296
                     src/main/java/org/apache/commons/io/input/TeeInputStream.java | 0.293
                          src/main/java/org/apache/commons/io/IOExceptionList.java | 0.289
                  src/main/java/org/apache/commons/io/input/BrokenInputStream.java | 0.289
                        src/main/java/org/apache/commons/io/TaggedIOException.java | 0.288
                  src/main/java/org/apache/commons/io/input/TaggedInputStream.java | 0.280
                src/main/java/org/apache/commons/io/filefilter/TrueFileFilter.java | 0.275
               src/main/java/org/apache/commons/io/output/ChunkedOutputStream.java | 0.274
                          src/main/java/org/apache/commons/io/ByteOrderParser.java | 0.274
    src/main/java/org/apache/commons/io/monitor/FileAlterationListenerAdaptor.java | 0.273
                src/main/java/org/apache/commons/io/output/TaggedOutputStream.java | 0.270
               src/main/java/org/apache/commons/io/filefilter/FalseFileFilter.java | 0.270
   src/main/java/org/apache/commons/io/serialization/WildcardClassNameMatcher.java | 0.269
