Issue Desirability:
               Issue | Desirability Score
---------------------+-------------------
AWKvjOA41B6WA4TgGB-F | 9.689
AWKvjOA51B6WA4TgGB-Z | 8.231
AWKvjOA51B6WA4TgGB-Y | 8.190
AWKvjOA51B6WA4TgGB-b | 7.835
AWKvjOA41B6WA4TgGB-A | 7.275
AWKvjOA41B6WA4TgGB9_ | 7.275
AWKvjOA41B6WA4TgGB9- | 7.275
AWKvjOA51B6WA4TgGB-d | 7.252
AWKvjOA51B6WA4TgGB-c | 7.252
AWKvjOBW1B6WA4TgGB_e | 7.044
AWKvjOA41B6WA4TgGB-L | 6.436
AWKvjOA41B6WA4TgGB-K | 6.436
AWKvjOA41B6WA4TgGB-J | 6.436
AWKvjOA41B6WA4TgGB-I | 6.436
AWKvjOA41B6WA4TgGB-O | 6.436
AWKvjOA41B6WA4TgGB-N | 6.436
AWKvjOA41B6WA4TgGB-M | 6.436
AWKvjOA41B6WA4TgGB-H | 6.436
AWKvjOA41B6WA4TgGB-G | 6.436
AWKvjOA41B6WA4TgGB90 | 6.436
AWKvjOA41B6WA4TgGB91 | 6.363
AWKvjOBW1B6WA4TgGB-_ | 6.323
AWKvjOBW1B6WA4TgGB-- | 6.323
AWKvjOA41B6WA4TgGB98 | 6.300
AWKvjOA41B6WA4TgGB96 | 6.300
AWKvjOA41B6WA4TgGB95 | 6.300
AWKvjOA41B6WA4TgGB97 | 6.237
AWKvjOA41B6WA4TgGB99 | 6.237
AWKvjOBV1B6WA4TgGB-5 | 6.232
AWKvjOBV1B6WA4TgGB-6 | 6.232
AWKvjOA41B6WA4TgGB93 | 6.174
AWKvjOA51B6WA4TgGB-X | 6.174
AWKvjOA51B6WA4TgGB-V | 6.174
AWKvjOA51B6WA4TgGB-W | 6.174
AWKvjOBV1B6WA4TgGB-7 | 6.161
AWKvjOBV1B6WA4TgGB-8 | 6.161
AWKvjOA41B6WA4TgGB9z | 6.006
AWKvjOA41B6WA4TgGB9y | 6.006
AWKvjOA41B6WA4TgGB92 | 5.985
AWKvjOBV1B6WA4TgGB-9 | 5.978
AWKvjOE51B6WA4TgGCBw | 5.786
AWKvjOA41B6WA4TgGB94 | 5.733
AWKvjOA41B6WA4TgGB-D | 5.460
AWKvjOA41B6WA4TgGB-C | 5.460
AWKvjOA41B6WA4TgGB-B | 5.460
AWKvjOA41B6WA4TgGB-E | 5.460
AWKvjOBV1B6WA4TgGB-4 | 5.234
AWKvjOBW1B6WA4TgGB_h | 5.022
AWKvjOBW1B6WA4TgGB_g | 5.022
AWKvjOBW1B6WA4TgGB_f | 5.022
AWKvjOA51B6WA4TgGB-a | 4.914
AWKvjOAt1B6WA4TgGB9x | 4.827
AWKvjOBW1B6WA4TgGB_d | 4.758
AWKvjOEl1B6WA4TgGCBl | 4.546
AWKvjOE21B6WA4TgGCBs | 4.546
AWKvjOA41B6WA4TgGB-S | 4.200
AWKvjOA41B6WA4TgGB-R | 4.200
AWKvjOA51B6WA4TgGB-T | 4.200
AWKvjOA41B6WA4TgGB-Q | 4.200
AWKvjOA51B6WA4TgGB-U | 4.200
AWKvjOA41B6WA4TgGB-P | 4.200
AWKvjOBE1B6WA4TgGB-n | 4.141
AWKvjOBW1B6WA4TgGB_T | 4.067
AWKvjOBW1B6WA4TgGB_S | 4.067
AWKvjOBW1B6WA4TgGB_R | 4.067
AWKvjOBW1B6WA4TgGB_Q | 4.067
AWKvjOBW1B6WA4TgGB_X | 4.067
AWKvjOBW1B6WA4TgGB_W | 4.067
AWKvjOBW1B6WA4TgGB_V | 4.067
AWKvjOBW1B6WA4TgGB_U | 4.067
AWKvjOBW1B6WA4TgGB_Z | 4.067
AWKvjOBW1B6WA4TgGB_Y | 4.067
AWKvjOBW1B6WA4TgGB_c | 4.067
AWKvjOBW1B6WA4TgGB_b | 4.067
AWKvjOBW1B6WA4TgGB_a | 4.067
AWKvjOBW1B6WA4TgGB_D | 4.067
AWKvjOBW1B6WA4TgGB_C | 4.067
AWKvjOBW1B6WA4TgGB_B | 4.067
AWKvjOBW1B6WA4TgGB_A | 4.067
AWKvjOBW1B6WA4TgGB_H | 4.067
AWKvjOBW1B6WA4TgGB_G | 4.067
AWKvjOBW1B6WA4TgGB_F | 4.067
AWKvjOBW1B6WA4TgGB_E | 4.067
AWKvjOBW1B6WA4TgGB_L | 4.067
AWKvjOBW1B6WA4TgGB_K | 4.067
AWKvjOBW1B6WA4TgGB_J | 4.067
AWKvjOBW1B6WA4TgGB_I | 4.067
AWKvjOBW1B6WA4TgGB_P | 4.067
AWKvjOBW1B6WA4TgGB_O | 4.067
AWKvjOBW1B6WA4TgGB_N | 4.067
AWKvjOBW1B6WA4TgGB_M | 4.067
AWKvjOBE1B6WA4TgGB-m | 4.027
AWKvjOBE1B6WA4TgGB-o | 3.959
AWKvjODc1B6WA4TgGCAZ | 3.904
AWKvjODc1B6WA4TgGCAY | 3.904
AWKvjODc1B6WA4TgGCAX | 3.904
AWKvjODc1B6WA4TgGCAa | 3.904
AWKvjOEN1B6WA4TgGCBN | 3.875
AWKvjOEO1B6WA4TgGCBR | 3.875
AWKvjOEO1B6WA4TgGCBS | 3.875
AWKvjOEO1B6WA4TgGCBT | 3.875
AWKvjOEO1B6WA4TgGCBU | 3.875
AWKvjOEO1B6WA4TgGCBO | 3.875
AWKvjOEO1B6WA4TgGCBP | 3.875
AWKvjOEO1B6WA4TgGCBQ | 3.875
AWKvjOAO1B6WA4TgGB9A | 3.731
AWKvjOAt1B6WA4TgGB9o | 3.646
AWKvjOBE1B6WA4TgGB-t | 3.628
AWKvjOBE1B6WA4TgGB-s | 3.628
AWKvjOEV1B6WA4TgGCBe | 3.588
AWKvjOD21B6WA4TgGCA9 | 3.588
AWKvjOD21B6WA4TgGCA8 | 3.588
AWKvjOD21B6WA4TgGCA7 | 3.588
AWKvjOD21B6WA4TgGCA6 | 3.588
AWKvjOD21B6WA4TgGCA5 | 3.588
AWKvjOD21B6WA4TgGCA4 | 3.588
AWKvjOBE1B6WA4TgGB-j | 3.576
AWKvjOBE1B6WA4TgGB-i | 3.576
AWKvjOBE1B6WA4TgGB-l | 3.576
AWKvjOBE1B6WA4TgGB-p | 3.549
AWKvjOER1B6WA4TgGCBW | 3.549
AWKvjOBI1B6WA4TgGB-w | 3.528
AWKvjODq1B6WA4TgGCAi | 3.473
AWKvjODq1B6WA4TgGCAw | 3.473
AWKvjODq1B6WA4TgGCAv | 3.473
AWKvjODq1B6WA4TgGCAs | 3.473
AWKvjODq1B6WA4TgGCAr | 3.473
AWKvjODq1B6WA4TgGCAu | 3.473
AWKvjODq1B6WA4TgGCAt | 3.473
AWKvjODq1B6WA4TgGCAo | 3.473
AWKvjODq1B6WA4TgGCAn | 3.473
AWKvjODq1B6WA4TgGCAq | 3.473
AWKvjODq1B6WA4TgGCAp | 3.473
AWKvjODq1B6WA4TgGCAk | 3.473
AWKvjODq1B6WA4TgGCAj | 3.473
AWKvjODq1B6WA4TgGCAm | 3.473
AWKvjODq1B6WA4TgGCAl | 3.473
AWKvjOAt1B6WA4TgGB9v | 3.448
AWKvjOAt1B6WA4TgGB9w | 3.448
AWKvjODx1B6WA4TgGCA3 | 3.448
AWKvjODB1B6WA4TgGCAK | 3.444
AWKvjOAt1B6WA4TgGB9l | 3.434
AWKvjOEC1B6WA4TgGCBK | 3.431
AWKvjOAt1B6WA4TgGB9m | 3.400
AWKvjOBE1B6WA4TgGB-f | 3.337
AWKvjOBD1B6WA4TgGB-e | 3.337
AWKvjOBE1B6WA4TgGB-h | 3.337
AWKvjOBE1B6WA4TgGB-g | 3.337
AWKvjOAt1B6WA4TgGB9n | 3.332
AWKvjOCW1B6WA4TgGB_7 | 3.300
AWKvjOEC1B6WA4TgGCBJ | 3.295
AWKvjOAt1B6WA4TgGB9j | 3.241
AWKvjOE51B6WA4TgGCB2 | 3.223
AWKvjOAY1B6WA4TgGB9G | 3.206
AWKvjOAY1B6WA4TgGB9F | 3.206
AWKvjOAY1B6WA4TgGB9E | 3.206
AWKvjOAY1B6WA4TgGB9D | 3.206
AWKvjOAY1B6WA4TgGB9Q | 3.206
AWKvjOAY1B6WA4TgGB9P | 3.206
AWKvjOAY1B6WA4TgGB9K | 3.206
AWKvjOAY1B6WA4TgGB9J | 3.206
AWKvjOAY1B6WA4TgGB9I | 3.206
AWKvjOAY1B6WA4TgGB9H | 3.206
AWKvjOAY1B6WA4TgGB9O | 3.206
AWKvjOAY1B6WA4TgGB9N | 3.206
AWKvjOAY1B6WA4TgGB9M | 3.206
AWKvjOAY1B6WA4TgGB9L | 3.206
AWKvjOC41B6WA4TgGCAE | 3.182
AWKvjODB1B6WA4TgGCAJ | 3.182
AWKvjODx1B6WA4TgGCA2 | 3.177
AWKvjOFF1B6WA4TgGCB9 | 3.157
AWKvjOFF1B6WA4TgGCB8 | 3.157
