Validation Metrics:
              Metric | Value
---------------------+------
MeanResidualDeviance | 0.026
                  R2 | 0.046
                RMSE | 0.161

Validationvariable importances:
                     Variable | Importance
------------------------------+-----------
                      package | 0.328
                       prefix | 0.115
          dependenciesProject | 0.114
              numberOfMethods | 0.107
                       suffix | 0.082
     previousAuthorTotalEdits | 0.048
    commitAgeClass.LastCommit | 0.040
         dependenciesExternal | 0.033
         cyclomaticComplexity | 0.032
                  linesOfCode | 0.032
  previousAuthorCommitWeekday | 0.019
previousAuthorCommitTimeOfDay | 0.016
      commitAgePackage.Minus1 | 0.011
  commitAgePackage.LastCommit | 0.008
             numberOfComments | 0.004
        commitAgeClass.Minus2 | 0.003
      commitAgePackage.Minus2 | 0.003
        commitAgeClass.Minus1 | 0.002
                   dependants | 0.002
               totalEditCount | 0.001
        commitAgeClass.Minus4 | 0.000
        commitAgeClass.Minus8 | 0.000
       commitAgeClass.Minus16 | 0.000
      commitAgePackage.Minus4 | 0.000
      commitAgePackage.Minus8 | 0.000
     commitAgePackage.Minus16 | 0.000
               previousAuthor | 0.000
  previousAuthorThisFileEdits | 0.000
             totalAuthorCount | 0.000
                       random | 0.000

Predictions:
                                                                                                          File | Predicted change
---------------------------------------------------------------------------------------------------------------+-----------------
                           src/main/java/de/viadee/sonarissuescoring/service/prediction/PredictionService.java | 0.950
                                                      src/main/java/de/viadee/sonarissuescoring/Evaluator.java | 0.868
                              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/Output.java | 0.847
                  src/main/java/de/viadee/sonarissuescoring/web/PredictionResultMessageConverterPlaintext.java | 0.831
                                 src/main/java/de/viadee/sonarissuescoring/service/prediction/load/Commit.java | 0.827
                        src/main/java/de/viadee/sonarissuescoring/service/prediction/load/RepositoryCache.java | 0.821
                                    src/main/java/de/viadee/sonarissuescoring/service/desirability/Rating.java | 0.776
                              src/main/java/de/viadee/sonarissuescoring/service/prediction/train/Instance.java | 0.771
              src/main/java/de/viadee/sonarissuescoring/service/prediction/load/RepositorySnapshotCreator.java | 0.768
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/PredictionResult.java | 0.721
                                       src/main/java/de/viadee/sonarissuescoring/service/PredictionParams.java | 0.696
              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/DependencyGraph.java | 0.678
                    src/main/java/de/viadee/sonarissuescoring/service/prediction/load/CommitHistoryReader.java | 0.633
                src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/AbstractAgeExtractor.java | 0.604
            src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/DependencyVisitor.java | 0.593
                     src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/TargetExtractor.java | 0.580
                             src/main/java/de/viadee/sonarissuescoring/service/prediction/FileInformation.java | 0.525
                       src/main/java/de/viadee/sonarissuescoring/service/prediction/load/RepositoryLoader.java | 0.522
              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/MutableAnalysis.java | 0.522
       src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/AbstractPrefixSuffixExtractor.java | 0.519
                        src/main/java/de/viadee/sonarissuescoring/service/prediction/EvaluationResultPath.java | 0.498
             src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/TempSourceFolder.java | 0.498
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/EvaluationResult.java | 0.471
                  src/main/java/de/viadee/sonarissuescoring/service/prediction/train/FilePredictionParams.java | 0.466
             src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderTag.java | 0.464
                           src/main/java/de/viadee/sonarissuescoring/service/desirability/UserPreferences.java | 0.452
                                    src/main/java/de/viadee/sonarissuescoring/web/EvaluationResultPrinter.java | 0.452
                                             src/main/java/de/viadee/sonarissuescoring/web/FileController.java | 0.450
                 src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/CommitTimeExtractor.java | 0.442
                                            src/main/java/de/viadee/sonarissuescoring/web/IssueController.java | 0.424
                                src/main/java/de/viadee/sonarissuescoring/service/prediction/ModelMetrics.java | 0.414
                        src/main/java/de/viadee/sonarissuescoring/service/desirability/DesirabilitySource.java | 0.413
                          src/main/java/de/viadee/sonarissuescoring/service/prediction/train/CsvConverter.java | 0.403
                                src/main/java/de/viadee/sonarissuescoring/service/prediction/load/GitPath.java | 0.403
                          src/main/java/de/viadee/sonarissuescoring/service/prediction/train/H2oMLService.java | 0.402
          src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderEffort.java | 0.401
                        src/main/java/de/viadee/sonarissuescoring/service/prediction/train/ExtendedH2oApi.java | 0.393
                                src/main/java/de/viadee/sonarissuescoring/service/desirability/ServerInfo.java | 0.391
                               src/main/java/de/viadee/sonarissuescoring/service/prediction/train/MLInput.java | 0.384
                       src/main/java/de/viadee/sonarissuescoring/service/prediction/load/TreeFilterSource.java | 0.382
        src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/AdaptedMetricExecutor.java | 0.368
             src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderAge.java | 0.368
                         src/main/java/de/viadee/sonarissuescoring/service/desirability/IssueDesirability.java | 0.366
        src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderSeverity.java | 0.355
                          src/main/java/de/viadee/sonarissuescoring/service/desirability/PathSuffixLookup.java | 0.334
                                   src/main/java/de/viadee/sonarissuescoring/SonarIssueScoringApplication.java | 0.323
                               src/main/java/de/viadee/sonarissuescoring/service/prediction/MlInputSource.java | 0.310
